ih_1,ih_2,ih_3,ih_4,ih_5,ih_6,ih_7,ih_8,ih_9,ih_10,ih_11,ih_12,ih_13,ih_14,ih_15,ih_16,ih_17,ih_18,ih_19,ih_20,ih_21,ih_22,ih_23,ih_24,ih_25,ih_26,ih_27,ih_28,ih_29,ih_30,ih_31,ih_32,ih_33,ih_34,ih_35,ih_36,ih_37,ih_38,ih_39,ih_40,ih_41,ih_42,ih_43,ih_44,ih_45,ih_46,ih_47,ih_48,ih_49,ih_50,ih_51,ih_52,gender,age,race,gpa,sat,act,phil_cls,psyc_cls,major,athlete
4,1,4,7,1,1,2,6,1,5,1,3,7,1,1,3,7,1,7,5,2,4,6,7,1,1,1,7,3,1,3,1,1,7,7,7,2,4,6,2,7,1,1,5,7,1,5,1,1,1,1,1,2,21,7,3.06,,21,1,3,82,2
5,2,6,2,4,2,5,3,5,5,5,3,2,2,5,5,3,5,5,5,5,3,5,2,5,5,3,5,5,5,3,5,5,5,6,6,6,4,3,3,4,3,3,3,5,3,6,1,3,2,2,2,2,19,7,3.7,,29,1,2,82,2
4,3,2,4,2,1,1,2,6,7,5,3,5,5,3,5,6,2,7,7,2,1,7,7,2,2,2,7,2,4,6,7,5,5,7,6,5,4,6,4,5,2,4,3,6,3,6,1,5,1,2,1,2,18,7,4,,33,1,1,3,2
6,4,3,4,2,2,4,4,4,5,4,5,3,3,5,2,6,5,6,6,2,2,6,6,2,2,2,5,2,6,3,4,2,6,6,6,2,3,6,4,2,3,2,3,5,3,6,2,2,1,2,2,2,20,1,2.45,,22,1,1,82,2
4,6,3,6,1,5,2,3,5,6,5,3,4,4,5,5,5,2,6,6,3,4,5,4,3,3,2,4,3,3,5,5,2,6,5,7,5,5,5,5,3,3,5,3,6,3,5,5,5,2,2,4,1,19,7,3.7,,33,2,0,82,2
2,6,4,5,1,2,1,5,3,6,3,5,5,1,4,3,6,2,7,6,2,1,6,7,3,2,1,6,3,6,1,2,1,7,7,7,3,2,6,4,6,4,3,3,7,2,4,1,2,1,1,1,2,22,7,3.4,,23,1,1,22,2
4,5,2,6,2,2,2,6,3,5,4,6,6,3,3,4,6,2,6,6,4,2,6,5,4,2,2,6,2,2,3,3,2,6,6,6,3,3,6,5,6,6,3,6,6,6,2,2,2,2,3,2,2,18,7,3.5,,23,0,1,82,2
5,3,5,3,4,2,3,4,4,4,4,2,3,6,5,4,5,5,7,4,2,4,5,6,2,3,2,6,1,3,2,6,3,7,7,6,5,2,3,3,6,1,3,1,6,1,6,1,5,1,2,2,2,20,7,3.3,,29,1,1,82,2
6,3,6,6,2,3,2,5,6,5,2,5,6,2,5,3,6,2,6,6,2,2,6,7,2,2,2,6,2,2,3,6,1,6,6,6,2,2,5,3,6,6,2,6,7,6,5,1,6,1,2,2,2,21,7,3.3,,23,2,2,9,2
2,6,2,6,2,2,2,4,4,4,6,4,6,1,6,6,7,2,6,6,2,2,5,6,2,2,2,6,2,6,3,3,1,6,6,6,2,2,7,6,4,2,5,2,6,4,6,2,2,1,2,1,2,20,7,3.3,,21,2,3,82,2
5,5,2,2,2,3,2,6,2,5,4,3,6,2,4,5,7,3,6,7,2,2,6,5,3,2,2,5,2,3,3,4,2,6,6,6,4,2,6,6,6,4,2,3,7,3,6,6,5,2,2,2,2,18,7,3.95,,25,1,2,23,1
6,3,3,3,5,5,3,5,4,3,5,6,5,3,3,3,3,3,3,4,5,5,5,5,5,2,3,3,5,4,3,3,3,6,6,5,3,3,5,5,4,3,5,5,6,3,5,2,5,3,5,2,2,19,7,3.5,,27,0,1,73,2
3,3,2,6,1,1,3,2,6,4,5,2,3,6,5,5,4,1,6,5,2,2,5,5,4,3,5,4,2,5,6,2,5,6,5,6,4,4,5,3,3,2,2,3,6,3,7,6,5,1,4,6,1,21,7,3,,28,0,1,82,2
5,3,2,3,2,1,2,3,3,5,6,2,5,3,5,6,6,3,5,4,3,3,5,5,2,3,2,5,2,2,2,3,2,6,6,6,5,5,5,5,6,1,3,5,6,3,6,3,6,2,2,2,2,20,7,3.3,,25,1,3,2,2
7,2,3,3,3,3,3,3,5,3,5,3,3,6,5,3,5,3,6,7,1,2,6,7,2,2,2,6,3,4,2,5,2,7,7,7,2,2,6,5,5,3,2,2,5,3,5,3,5,2,2,2,2,19,7,2.9,1200,,2,2,32,2
2,2,3,6,2,2,5,2,3,2,3,4,5,2,2,2,7,2,7,5,5,4,6,6,2,2,2,4,2,6,2,3,5,6,6,6,2,2,6,6,3,3,2,3,6,3,6,3,2,1,5,5,2,20,7,3,,24,0,1,10,2
5,5,2,4,1,1,1,1,2,2,6,6,6,1,5,3,6,5,7,6,2,2,4,6,3,3,4,4,1,4,5,3,2,6,6,6,2,2,6,2,5,4,1,2,6,2,6,3,4,2,2,1,2,21,7,3.65,,20,0,2,,2
5,3,3,3,5,5,2,5,5,4,4,5,6,2,3,2,7,4,5,6,3,2,7,7,4,2,1,6,1,6,5,4,2,7,7,7,4,3,6,6,6,4,4,2,7,3,6,2,5,1,2,1,2,21,7,2.9,,25,0,2,23,2
6,5,5,6,1,1,1,3,1,5,4,3,1,1,1,4,7,,6,5,,3,7,6,5,,,6,2,2,2,2,1,7,6,7,2,2,4,5,7,1,2,4,3,7,4,,3,2,1,1,2,20,7,2.1,,21,0,2,24,2
6,6,1,2,2,2,4,4,2,6,2,6,6,2,2,4,5,1,6,6,2,5,6,5,3,2,2,6,3,2,2,2,2,5,6,6,2,2,5,3,6,6,2,5,6,4,6,5,5,2,2,2,2,19,7,3.084,,26,0,2,82,1
1,7,4,7,2,1,1,3,5,4,1,4,7,1,4,5,7,1,7,7,6,1,7,7,7,5,6,6,1,1,1,3,1,5,7,7,5,5,6,2,7,3,1,2,7,3,2,2,1,1,2,1,2,20,9,2.6,,24,1,3,9,2
7,2,1,5,2,4,2,2,4,7,7,6,2,4,4,3,6,3,4,4,6,4,6,6,2,2,1,4,2,2,2,4,1,6,7,6,1,1,6,6,7,3,2,6,6,5,6,2,2,2,2,1,2,19,1,3.1,,27,0,0,82,2
4,5,4,6,3,3,5,3,3,6,5,7,6,1,2,4,7,2,5,6,4,2,6,4,5,2,1,4,2,5,1,4,2,6,6,7,3,3,5,3,6,3,5,4,4,3,5,2,5,1,2,2,2,20,7,3.5,,,1,2,22,2
6,3,5,3,1,1,1,6,4,5,1,5,6,1,2,2,7,5,,7,1,2,6,6,5,1,1,6,5,2,4,4,2,6,6,6,2,1,5,3,6,2,2,1,6,2,6,1,5,1,1,1,2,34,6,3.491,,,0,0,24,2
2,4,2,1,2,2,2,5,4,3,3,2,6,1,3,2,7,2,7,6,1,2,5,5,5,4,2,4,2,5,2,2,2,6,6,6,5,3,3,3,3,2,2,2,7,2,6,2,2,1,2,5,2,18,7,3,,25,0,0,82,2
4,4,3,4,2,3,4,5,1,5,5,4,5,2,5,2,4,3,5,5,5,3,5,6,4,2,2,6,5,3,2,4,2,6,5,7,3,2,6,6,3,3,3,3,7,3,1,1,5,1,3,1,2,19,7,3.3,,22,0,3,23,2
2,2,2,6,1,2,1,6,2,5,2,7,7,2,2,3,6,2,6,6,2,2,7,7,2,2,2,7,2,2,2,2,2,7,6,7,2,2,6,6,6,2,2,2,6,6,5,2,2,1,2,2,1,21,7,3.7,,32,1,0,23,2
3,3,4,5,2,2,3,5,1,1,5,5,5,1,5,3,6,2,4,5,3,4,6,6,5,2,2,5,4,4,3,2,2,7,7,7,3,3,6,5,5,2,2,3,6,2,6,1,5,1,1,2,2,21,7,3.61,,25,2,3,82,2
3,5,2,6,2,3,3,3,4,3,4,5,5,2,4,4,5,3,6,5,3,1,4,5,3,4,4,5,3,4,1,4,3,7,5,5,5,4,4,2,5,3,3,4,6,4,5,3,3,3,3,3,2,22,7,3.6,,23,0,4,82,2
2,3,2,1,1,1,1,5,2,4,3,6,6,1,5,6,5,3,7,6,3,2,6,6,3,3,2,6,2,3,2,5,1,5,6,7,7,6,3,2,5,3,5,2,6,3,6,1,2,2,1,1,2,19,7,3.8,,30,1,2,82,2
5,3,3,3,2,2,2,3,4,4,5,6,5,4,4,6,6,2,6,6,2,3,6,6,4,4,2,5,6,2,4,4,2,6,7,6,4,3,5,5,4,4,4,4,6,3,6,2,4,2,3,4,2,19,7,3.6,,32,0,1,9,2
2,4,1,1,1,1,1,3,1,6,5,1,1,4,5,6,7,1,7,7,1,1,7,7,1,1,1,7,1,2,1,6,1,7,7,6,2,1,5,5,2,3,1,3,7,4,7,1,2,1,1,1,1,21,7,3.87,,26,3,0,3,2
5,3,2,2,1,3,2,3,2,3,4,6,6,2,2,1,7,5,3,1,5,5,5,5,3,2,2,5,4,2,6,4,4,5,5,5,5,5,4,1,5,5,5,4,5,3,5,2,5,1,3,4,2,21,7,3.5,,24,1,3,82,2
4,4,1,6,1,2,2,4,4,6,5,5,6,4,4,4,7,6,7,6,2,1,5,7,4,1,3,7,7,7,4,5,2,7,7,7,4,5,7,5,4,3,3,1,7,4,6,2,3,1,1,1,2,19,7,4,,22,0,1,1,2
2,5,2,5,1,2,2,6,5,4,5,4,6,4,2,4,6,4,6,6,3,4,5,7,2,2,3,7,3,4,4,4,1,7,6,7,2,2,7,3,5,6,2,6,7,7,5,2,3,1,1,1,1,19,2,,,23,1,1,18,2
4,4,2,6,1,2,2,5,4,5,5,6,6,5,4,4,5,2,6,5,5,5,6,6,4,3,2,6,2,5,2,4,2,6,7,6,5,2,6,5,7,2,2,2,6,2,7,3,2,1,2,4,2,20,7,3.38,,29,1,1,82,2
6,3,3,3,2,1,3,3,3,4,3,5,2,4,4,5,6,1,7,5,2,1,6,6,2,2,1,6,1,2,3,4,2,7,6,6,2,2,6,5,7,3,2,3,7,3,6,3,3,1,1,1,2,19,7,3.9,,30,0,0,2,2
2,6,3,6,5,5,5,3,3,6,3,6,7,1,3,5,7,2,7,6,2,1,7,6,2,1,1,6,1,2,1,2,1,7,7,7,2,2,5,5,7,3,2,3,3,3,6,1,2,1,1,3,2,22,7,2.9,,24,2,0,10,2
5,5,,4,3,3,4,5,4,5,5,3,5,3,4,5,5,5,5,5,3,5,6,3,5,3,2,5,3,5,5,5,2,6,3,6,6,3,5,3,3,5,5,5,5,3,5,2,3,1,3,2,1,20,7,2.8,,22,0,1,10,2
2,6,2,7,1,2,1,7,2,3,2,6,1,2,2,3,6,3,6,6,3,2,5,7,3,3,1,7,1,2,4,2,2,7,6,6,2,2,6,6,6,5,2,6,7,3,5,1,1,1,1,1,2,21,7,3.078,,17,1,1,10,2
2,6,1,7,1,1,4,7,1,2,1,2,7,2,1,6,6,1,5,4,4,2,6,7,1,2,2,6,1,1,1,1,3,6,7,7,1,2,7,6,6,5,2,2,7,6,2,1,2,1,1,1,1,23,7,3.5,,26,0,1,18,2
6,4,5,6,2,2,2,3,4,6,5,5,5,3,5,4,5,2,6,6,5,2,5,6,5,4,2,6,3,2,5,2,2,7,4,6,4,2,5,6,2,2,3,4,6,3,5,1,4,1,2,4,2,20,7,3.5,,21,0,1,82,2
6,2,5,2,1,1,1,5,6,6,5,3,6,1,1,6,7,2,7,7,2,1,7,7,1,2,1,7,1,2,2,6,1,7,7,6,5,,6,6,2,3,2,6,7,3,6,1,3,1,1,1,1,22,7,3.67,,32,0,1,24,2
5,3,5,3,3,5,3,3,5,5,5,3,3,5,6,5,5,5,6,6,5,3,6,6,3,2,3,6,1,3,5,5,2,7,7,6,3,5,5,2,5,2,5,2,6,2,6,3,7,3,5,5,1,18,7,3.5,,33,0,1,18,2
4,4,4,4,3,3,4,4,4,5,4,6,5,3,3,4,5,4,6,4,5,4,6,6,3,3,2,6,2,4,2,4,2,6,6,5,3,3,5,3,5,4,2,4,6,4,5,5,5,2,3,4,1,23,7,3,,30,7,2,66,2
2,6,2,6,5,5,5,4,4,5,5,2,4,5,5,7,5,3,6,5,3,2,6,6,4,2,1,6,2,3,4,6,3,7,6,6,2,1,6,6,3,4,2,5,6,3,6,4,4,2,2,2,1,22,7,2.8,,29,1,3,82,2
6,2,5,1,7,3,7,6,2,6,5,5,2,2,3,2,7,1,3,3,5,5,6,7,1,1,2,7,3,6,2,3,1,6,6,7,2,2,5,5,5,5,2,6,6,5,6,3,6,1,2,1,2,21,7,3.3,,26,1,3,82,2
2,3,2,1,2,2,1,2,4,5,5,6,5,4,2,6,6,2,7,6,1,2,6,4,5,3,1,6,5,3,5,2,1,7,6,7,4,4,4,7,2,1,5,1,6,2,6,1,4,1,2,1,2,19,7,3.65,,29,1,3,73,2
5,3,5,6,1,1,2,4,2,4,6,4,6,5,3,3,7,5,6,5,5,3,5,7,3,5,6,5,5,3,3,1,1,7,5,7,6,5,6,3,7,3,2,3,6,5,7,1,3,3,3,2,1,23,2,3.5,,,2,6,73,2
5,3,2,6,2,2,3,7,2,6,3,5,4,2,6,5,6,5,7,5,,1,6,7,7,4,1,3,2,2,6,1,1,6,6,7,2,3,5,5,5,4,2,3,7,6,6,1,2,1,2,2,2,20,7,0,,19,0,1,9,2
5,6,5,4,1,3,1,3,4,4,4,7,7,3,4,5,3,5,7,6,6,5,3,7,4,2,3,5,2,2,3,3,3,6,6,7,5,2,5,3,6,3,5,3,3,6,5,1,6,1,2,1,2,21,7,3.7,,31,1,1,24,2
5,3,6,5,3,2,4,3,5,6,2,5,2,6,5,5,6,2,6,5,2,2,6,7,2,6,2,6,2,6,2,2,2,6,6,7,2,2,7,6,6,6,2,6,6,6,6,6,2,2,2,2,2,18,7,3.7,,26,2,1,39,2
4,6,1,3,1,1,2,5,4,2,4,4,4,2,6,4,7,4,6,7,1,3,7,3,6,2,1,7,5,4,2,4,1,7,5,7,1,2,7,7,2,3,3,2,7,1,7,2,2,1,2,1,2,18,7,3.8,,21,1,1,10,2
2,3,3,5,2,3,5,4,3,5,3,4,3,4,4,3,3,6,5,5,3,3,5,6,1,5,2,3,3,5,7,3,3,4,3,3,2,5,2,3,6,5,4,5,3,5,3,1,5,5,3,2,2,18,7,3.8,,24,1,1,9,2
6,3,2,3,2,3,4,5,5,3,5,5,5,2,4,3,7,5,6,5,4,3,6,4,5,5,2,4,7,3,2,2,2,6,6,6,4,4,4,2,5,3,2,4,5,3,4,3,3,1,2,1,2,20,7,3.38,,23,1,1,10,2
4,5,5,5,1,1,1,4,3,4,3,4,6,2,2,6,6,3,7,5,2,1,6,7,4,2,1,6,1,2,1,3,1,7,6,6,2,1,6,5,6,5,1,5,6,4,6,1,3,1,1,1,1,21,7,3.1,,27,1,1,37,2
5,2,4,3,2,2,3,6,1,4,3,4,6,3,5,3,5,2,6,5,4,2,5,6,4,2,1,7,2,2,3,2,1,7,6,6,3,2,6,5,5,3,2,3,7,3,6,5,3,1,2,2,2,18,7,3.5,,27,0,1,1,2

3,5,1,5,4,2,2,3,2,5,3,3,3,6,5,6,5,3,6,4,4,1,5,5,3,3,1,5,4,2,2,3,2,6,6,5,4,3,4,5,3,4,2,4,6,4,4,2,5,1,2,2,1,21,7,2.84,,27,0,1,82,2
5,2,5,2,2,3,3,3,2,6,6,4,4,4,3,4,6,2,6,5,2,2,6,7,2,1,1,6,2,5,3,3,3,7,7,6,2,2,5,4,6,4,3,4,7,3,6,2,5,1,1,2,2,18,7,,,28,1,1,1,2
2,3,2,6,1,1,1,4,2,3,5,2,5,1,5,7,7,2,7,6,2,3,6,3,5,2,2,6,1,4,2,5,1,7,7,5,3,3,5,3,4,1,5,2,6,2,6,4,2,1,2,2,2,18,7,3.5,,25,0,2,9,2
3,5,2,6,3,3,3,5,6,6,6,3,3,6,5,7,6,2,7,6,3,1,5,6,1,2,2,7,2,1,2,5,3,7,7,7,6,2,7,7,3,3,2,5,6,3,6,6,6,2,3,2,1,19,7,2.76,,31,0,0,82,2
1,7,1,7,1,1,1,1,7,7,7,1,1,7,7,7,1,1,7,7,1,1,4,4,6,6,3,4,1,1,2,7,3,7,7,7,7,7,1,2,2,1,7,1,7,1,6,4,3,1,1,2,1,24,7,2.9,,34,0,1,18,2
2,4,2,2,1,2,1,6,4,4,2,4,4,1,4,5,5,2,6,6,3,1,6,6,2,2,2,6,3,2,1,4,1,6,6,6,2,1,7,6,6,4,2,4,6,4,6,4,4,1,2,2,1,18,7,3.3,,21,0,1,73,2
2,5,1,6,1,3,2,6,4,4,3,5,5,2,4,3,6,5,7,6,5,2,4,6,3,,2,6,3,2,2,2,2,7,6,6,4,5,5,2,5,3,3,5,6,5,5,2,3,1,1,1,2,18,7,3.79,,23,0,1,82,2
3,6,2,6,1,3,1,5,4,7,2,5,6,3,4,7,6,3,7,7,1,2,6,5,3,2,1,6,4,3,2,4,2,7,6,7,2,3,6,5,6,6,2,5,7,5,6,2,3,2,2,2,2,21,7,3.75,,29,3,5,22,2
2,6,1,6,1,2,1,4,4,4,5,6,6,2,5,5,7,2,7,7,3,2,6,4,3,4,2,6,2,2,2,5,2,7,6,6,2,2,5,4,6,3,4,3,6,3,6,2,3,1,2,1,2,22,7,3.8,,29,0,2,82,2
4,4,2,5,3,5,5,6,4,4,5,6,6,4,3,1,6,4,6,5,3,5,6,6,3,1,2,6,1,5,2,3,3,7,6,6,5,3,5,1,5,6,5,6,6,6,5,3,2,1,2,2,2,23,7,2.4,,22,1,1,5,2
2,5,2,5,2,2,4,6,3,6,3,6,6,3,6,4,3,3,6,6,2,3,6,7,3,3,1,7,3,2,2,3,2,6,6,6,3,2,6,5,4,3,5,5,6,3,6,2,2,1,1,2,2,18,7,2.7,,25,0,0,9,2
3,5,3,4,3,2,3,5,5,5,5,5,4,3,5,4,2,5,4,4,4,3,6,6,5,2,3,6,4,2,4,5,2,6,5,5,4,3,3,4,4,5,3,2,5,4,5,1,3,1,3,2,1,21,7,2.2,,22,3,1,35,2
7,7,7,3,5,1,4,4,7,7,5,2,6,1,2,7,7,2,7,6,2,3,7,7,1,1,1,7,1,6,1,6,2,7,7,7,1,1,7,5,7,6,2,7,7,3,7,1,2,1,1,1,1,19,7,3.8,,29,2,0,41,2
4,5,2,6,2,2,2,4,4,4,3,6,5,2,4,4,6,2,4,3,6,5,5,5,3,3,3,6,3,3,2,3,2,6,6,4,3,2,5,6,5,4,2,6,6,5,2,4,3,2,3,3,1,20,7,2.7,,28,1,1,82,2
2,6,2,6,2,2,2,6,4,4,2,4,1,1,2,2,6,2,3,3,5,3,6,4,2,2,2,6,2,2,2,2,2,6,6,6,2,2,5,6,6,4,2,4,6,4,4,2,2,1,2,2,1,18,7,3,,28,0,1,82,2
2,6,2,6,1,1,1,5,3,6,2,3,6,1,3,4,6,3,6,4,1,2,6,5,2,3,1,7,2,2,2,4,2,7,6,7,2,2,6,5,5,4,2,4,7,2,4,2,5,1,1,1,2,20,7,3.75,,27,1,0,82,2
5,3,2,6,2,2,2,6,6,4,4,6,4,4,4,5,6,2,7,6,2,2,5,7,3,4,2,7,4,3,6,5,2,7,6,7,2,3,6,5,5,5,2,5,7,6,5,1,3,1,2,2,2,20,7,3.2,,19,0,1,9,2
5,3,2,5,2,2,1,2,3,5,5,5,6,4,3,2,5,5,6,3,3,2,2,6,2,5,3,6,2,2,2,2,4,6,6,6,5,5,3,5,6,3,3,3,6,5,3,1,2,1,2,1,2,23,7,3.1,,23,1,2,82,2
6,3,3,2,5,5,2,5,3,5,2,6,6,2,2,2,6,2,6,6,5,3,6,6,2,2,1,6,3,1,2,3,2,6,6,6,5,3,6,5,5,3,3,3,6,5,3,1,3,1,2,2,2,20,7,3.77,,24,2,2,82,2
3,5,2,2,4,5,5,5,2,,3,4,6,2,2,5,5,3,6,6,6,5,2,5,2,4,1,5,3,2,2,2,1,7,6,6,3,2,4,6,5,5,5,5,5,2,6,2,6,2,2,2,2,21,7,3.7,,28,1,4,82,2
5,2,7,5,2,2,2,3,7,7,6,2,3,5,5,7,6,2,7,6,5,2,6,5,5,3,4,5,3,3,5,6,3,5,7,6,5,5,3,3,3,3,3,5,6,2,5,2,5,1,3,7,1,21,7,3.08,,21,2,3,82,2
4,3,4,4,2,2,3,3,7,6,5,2,5,4,5,6,3,3,6,6,2,3,7,5,6,2,1,5,3,5,4,6,2,7,5,6,4,3,5,5,3,4,6,1,5,3,5,2,5,1,2,2,1,19,7,3.2,,28,1,0,37,2
6,3,3,7,2,1,7,7,4,7,1,1,7,1,5,7,7,1,6,7,2,4,7,7,1,1,1,7,1,2,7,5,1,7,7,7,7,2,5,6,7,3,2,4,7,3,7,1,1,1,1,1,1,19,7,3,,22,0,0,10,2
3,3,5,1,1,1,1,4,3,,1,4,7,4,5,6,4,2,5,7,3,2,6,7,2,1,2,5,1,2,2,2,2,6,6,7,5,4,6,2,5,5,1,3,7,4,6,2,5,2,1,2,2,31,9,3.5,1400,28,2,10,23,2
5,1,2,5,1,3,5,2,5,1,5,4,4,4,5,2,4,6,7,7,6,6,4,6,2,,5,7,2,6,1,6,6,5,3,7,7,6,5,4,3,7,4,2,7,4,5,2,2,1,1,1,2,21,7,3.2,,21,1,2,24,2
3,5,5,3,5,3,5,3,4,6,6,4,4,3,6,5,6,3,6,6,5,3,3,3,2,4,3,5,2,4,3,5,3,7,3,6,4,4,6,6,4,4,3,5,6,4,6,2,5,1,3,5,2,18,7,3.8,,24,0,1,44,2
5,3,5,6,3,2,2,3,6,5,4,2,6,6,3,5,5,5,6,4,3,5,6,5,3,2,1,6,3,2,2,6,5,5,7,5,5,5,5,3,5,3,5,2,7,3,6,2,6,1,2,3,1,18,7,3.4,,28,1,3,1,2
5,2,2,2,5,6,6,5,6,4,3,6,5,4,4,6,5,4,6,3,1,5,4,4,6,3,2,6,2,6,5,5,3,6,6,7,4,3,5,3,4,4,4,4,5,7,5,3,6,5,3,3,1,22,7,3.74,,24,2,3,2,2
5,3,5,3,2,2,5,3,4,6,5,3,4,5,5,5,7,2,5,4,3,2,6,6,3,2,2,6,2,1,2,6,2,6,7,6,3,3,5,4,5,3,2,2,7,3,7,5,4,2,2,2,1,20,7,3,,28,0,2,9,2
4,4,4,7,1,1,2,3,5,4,5,4,6,5,3,5,6,3,6,6,2,2,6,6,5,4,2,4,2,2,1,5,2,7,7,6,5,2,7,6,6,1,2,4,6,3,6,2,2,1,2,1,2,19,7,4,1900,33,0,1,82,2
5,1,2,5,2,4,5,2,7,6,6,2,3,5,6,4,6,5,6,6,4,2,5,3,5,3,1,5,5,3,5,7,2,6,6,7,6,3,4,5,3,2,2,3,6,2,6,1,4,2,2,4,2,18,7,3.2,,,1,1,73,2
4,5,2,4,1,1,2,2,4,7,6,3,6,2,1,1,2,6,5,3,4,3,6,5,6,2,2,3,3,1,3,4,3,5,6,5,5,5,5,1,3,6,6,5,5,4,2,3,2,1,2,6,2,22,7,3.7,,35,0,1,68,2
3,3,2,5,3,2,2,3,3,3,5,3,6,5,5,5,3,3,6,6,6,2,6,6,2,6,3,4,2,2,3,5,3,6,6,4,4,3,6,1,5,4,3,3,6,3,6,3,5,2,3,3,2,27,7,3.5,,32,2,2,9,2
5,7,1,7,5,4,1,7,2,7,6,1,6,2,2,3,4,6,5,6,4,4,5,1,2,4,2,5,6,4,2,2,1,6,1,7,4,7,4,1,4,4,2,2,6,1,4,1,2,1,3,1,2,21,7,3,,20,0,6,78,2
4,5,4,6,2,2,3,6,6,5,4,3,6,4,4,3,6,2,7,6,4,2,5,5,6,3,2,6,5,4,2,4,4,6,6,6,2,2,6,6,5,5,2,5,7,6,6,4,5,1,5,4,2,18,7,3.8,,24,0,0,47,2
7,1,5,7,5,6,3,2,7,7,1,7,2,1,1,3,6,1,7,7,3,2,7,7,6,1,1,7,1,5,1,1,1,7,7,7,5,5,5,1,5,3,1,1,7,3,1,7,2,1,1,1,2,23,7,2.78,,22,0,4,82,1
7,2,5,3,3,2,1,3,7,7,6,3,3,3,6,6,6,3,7,5,3,2,7,5,6,4,4,2,3,3,6,5,4,7,6,6,3,1,5,2,4,4,4,6,3,2,6,1,5,2,4,2,1,20,7,3.7,,28,1,2,73,2
5,5,5,5,1,1,1,3,1,6,4,4,5,5,3,4,6,1,7,7,2,1,6,7,1,2,1,7,1,3,2,3,2,7,7,6,5,2,5,3,2,4,2,2,7,5,6,1,1,1,3,2,2,27,7,2.9,,,1,2,37,2
2,3,2,6,2,2,3,5,3,4,2,6,6,2,3,4,7,2,6,5,2,1,6,7,2,2,2,6,3,2,1,2,1,7,6,7,2,2,6,6,3,3,1,4,6,3,5,1,2,1,1,1,2,21,7,3.89,,25,0,1,82,2
5,2,4,3,5,5,6,6,3,4,5,4,5,2,5,2,7,2,5,7,2,1,6,7,3,3,2,5,1,4,2,4,4,7,4,7,2,5,6,2,7,4,2,1,7,4,6,2,5,1,1,1,2,21,7,2.78,,21,1,1,5,2
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,7,3.2,,25,1,2,23,2
4,5,3,5,2,2,2,6,4,5,4,4,5,1,4,3,6,3,6,6,2,2,6,7,3,3,2,5,3,5,3,3,2,6,6,6,5,2,5,5,7,2,2,3,6,3,5,4,5,1,2,1,2,20,7,3.4,,,0,5,73,2
5,3,5,4,5,3,6,6,5,4,4,5,6,3,4,3,6,2,6,6,2,2,6,6,4,2,2,6,2,4,4,3,2,6,6,6,3,5,6,3,6,5,3,5,6,4,5,4,5,2,2,2,2,21,7,2.8,,28,1,5,73,2
4,1,2,3,5,3,6,3,4,2,3,2,7,6,4,4,6,2,5,4,2,1,7,5,5,2,4,5,1,6,5,4,2,7,6,7,5,2,3,6,2,5,5,3,6,5,6,6,2,2,2,4,1,21,7,2.6,,23,1,0,82,2
5,3,3,5,1,1,1,3,5,5,2,3,6,2,5,3,5,2,7,6,5,3,6,7,3,2,2,6,1,1,5,6,2,7,6,7,5,3,5,3,3,2,2,2,5,2,5,2,5,1,2,2,2,20,7,3.7,,27,1,1,79,2
7,3,1,6,1,2,2,4,5,4,4,7,7,2,3,6,7,1,6,7,2,2,7,6,6,2,1,6,2,3,4,3,2,7,7,7,5,2,6,5,6,2,2,2,7,6,6,4,3,1,2,1,2,20,7,3.75,,25,1,2,16,2
6,3,5,5,3,4,3,2,5,5,5,3,3,5,5,6,5,5,6,5,2,2,6,7,2,2,3,7,5,2,3,5,3,6,6,4,5,5,5,5,2,2,5,3,3,5,5,6,3,1,2,2,2,20,7,3.25,,27,2,0,35,2
5,3,2,3,2,3,2,4,4,3,3,5,6,3,1,5,3,2,7,7,1,1,5,6,3,4,2,7,3,3,2,2,1,7,7,7,1,2,6,5,5,3,2,3,5,4,5,2,2,1,4,1,2,19,7,3.84,1740,28,1,2,55,2
5,4,4,3,5,4,5,5,4,5,4,4,5,4,4,6,5,3,5,5,4,3,4,2,6,3,3,3,3,5,2,4,2,6,6,4,5,3,6,5,6,5,6,6,6,4,4,4,5,1,3,4,1,19,7,3,,22,0,0,12,2
7,1,6,1,2,2,1,6,2,6,2,5,5,1,4,2,6,5,6,6,2,2,2,1,6,4,2,3,6,5,5,1,1,7,6,6,2,3,6,3,5,3,2,6,5,6,6,2,2,1,1,1,2,18,3,2.7,,23,1,1,16,2
5,2,4,3,1,2,2,4,5,4,5,2,7,2,6,5,2,3,7,7,2,1,6,6,4,1,1,6,2,5,1,4,1,7,7,5,1,4,6,6,5,5,4,5,7,4,6,1,5,1,2,3,1,21,7,3.7,,27,1,2,9,2
1,7,1,7,1,1,3,4,5,1,6,1,6,1,4,4,6,4,7,6,3,2,3,5,7,2,1,4,4,1,2,6,1,7,6,6,4,4,5,4,6,3,1,6,5,4,5,1,2,1,2,1,2,18,7,3.6,,24,0,1,63,2
5,5,4,4,1,3,3,4,6,6,4,6,6,2,5,6,6,5,7,7,1,2,5,3,2,2,2,6,1,5,2,4,1,7,7,6,2,1,7,5,6,3,2,3,6,4,6,4,4,1,2,2,2,21,7,3.7,,25,1,3,82,2
